Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Device_Type,Location,Balance_Before,Balance_After,Transaction_Time
T00001,U568,929500,UPI,Mobile,Kolkata,,,16:05
T00002,U308,,Debit Card,Mobile,Bangalore,14054,,25:61
T00003,U149,₹220,Credit Card,Desktop,,,,25:61
T00004,U537,14690,Debit Card,Desktop,Mumbai,,,18:39
T00005,U735,4500,Transfer,Tablet,Delhi,13031,8531,22:54
T00006,U160,abc,Credit Card,Laptop,Chennai,,,25:61
T00007,U150,abc,Credit Card,Mobile,Kolkata,,,22:45
T00008,U279,,Credit Card,Mobile,Chennai,,,25:61
T00009,U201,₹1079,Credit Card,,Kolkata,14794,,20:19
T00010,U955,abc,Credit Card,,Delhi,,19898,17:51
T00011,U252,,Credit Card,Mobile,,7430,,25:61
T00012,U589,640033,Credit Card,Laptop,Mumbai,,,25:61
T00013,U905,133932,Credit Card,Mobile,Bangalore,1890,-132042,25:61
T00014,U261,339199,UPI,Laptop,Chennai,,12235,25:61
T00015,U549,1208,Credit Card,,Kolkata,,19940,15:52
T00016,U633,₹2551,Transfer,Mobile,Delhi,,3478,09:36
T00017,U980,,Credit Card,,Chennai,,,25:61
T00018,U738,354,UPI,Mobile,Chennai,14248,13894,17:33
T00019,U329,2835,Card,Laptop,Mumbai,,,25:61
T00020,U754,1103,Debit Card,Tablet,Bangalore,,9994,23:04
T00021,U928,abc,Credit Card,Tablet,Delhi,5578,,20:49
T00022,U398,abc,Transfer,Laptop,Delhi,,,00:31
T00023,U949,₹734,Credit Card,Laptop,Delhi,,,25:61
T00024,U975,,Credit Card,,Chennai,,,25:61
T00025,U414,abc,UPI,Desktop,Kolkata,15464,6166,08:04
T00026,U520,₹2925,Debit Card,Desktop,Kolkata,,3999,25:61
T00027,U468,,UPI,Tablet,,,,25:61
T00028,U101,abc,UPI,Tablet,Chennai,,,25:61
T00029,U624,abc,UPI,Mobile,Mumbai,6286,,25:61
T00030,U908,,Card,Mobile,Chennai,,,25:61
T00031,U617,1757,Transfer,Desktop,Delhi,17441,15684,25:61
T00032,U176,₹2707,UPI,Desktop,,,,18:50
T00033,U360,512690,Debit Card,Mobile,,,,25:61
T00034,U164,3900,Debit Card,Mobile,Kolkata,,,25:61
T00035,U337,,UPI,Mobile,Bangalore,,,25:61
T00036,U302,abc,Card,Desktop,,,,25:61
T00037,U310,abc,Credit Card,Tablet,Bangalore,,7518,08:08
T00038,U908,4525,Transfer,Laptop,,12372,7847,25:61
T00039,U139,abc,Debit Card,,Mumbai,4996,19292,25:61
T00040,U555,,Transfer,Tablet,,,13796,12:41
T00041,U274,abc,Debit Card,Laptop,Delhi,,,25:61
T00042,U502,₹1181,Transfer,,Kolkata,,9794,25:61
T00043,U692,₹4633,Transfer,Laptop,Kolkata,,,25:61
T00044,U658,,Debit Card,Tablet,Chennai,,-4128,18:45
T00045,U736,abc,Transfer,Mobile,Chennai,12476,5797,25:61
T00046,U644,854,Credit Card,Tablet,Bangalore,11740,10886,20:29
T00047,U563,,Credit Card,Desktop,Mumbai,,,01:45
